tceid,catid,n_planets,tce_num,tce_period,tce_time0bk,tce_duration,planet
5733076_1,5733076,2,1,7.3867,1615.508,2.03348,0
5733076_2,5733076,2,2,7.389561,1619.882,1.215453,0
5874903_1,5874903,1,1,17.03043,1623.663,15.85372,0
5986427_1,5986427,1,1,19.17177,1621.789,9.692061,0
272965154_1,272965154,2,1,4.952778,1616.034,2,0
272965154_2,272965154,2,2,4.951839,1613.405,1.015422,0
277549382_1,277549382,3,1,6.284984,1614.045,4.20051,0
277549382_2,277549382,3,2,6.285021,1616.601,3.790602,0
277549382_3,277549382,3,3,13.66193,1613.337,1.067786,0
286115754_1,286115754,2,1,2.348904,1613.121,4.106076,0
286115754_2,286115754,2,2,2.34886,1614.247,3.85391,0
291036340_1,291036340,1,1,14.65556,1626.676,15,0
291036393_1,291036393,2,1,13.95302,1626.562,6.32886,0
291036393_2,291036393,2,2,13.90571,1613.716,15.1081,0
292973604_1,292973604,1,1,15.28709,1626.041,15.0399,0
296740769_1,296740769,1,1,17.63278,1616.94,1.626755,1
296837389_1,296837389,2,1,1.957546,1613.795,2.055279,1
296837389_2,296837389,2,2,8.224698,1613.822,3.84955,1
296856546_1,296856546,1,1,14.94771,1626.145,26.25814,0
301089244_1,301089244,1,1,2.739389,1615.431,2.009404,1
6063135_1,6063135,1,1,13.96439,1626.643,12.54894,0
318469577_1,318469577,2,1,13.853,1612.966,5.361921,0
318469577_2,318469577,2,2,13.85644,1615.409,2.698153,0
318469641_1,318469641,1,1,5.12645,1615.245,3.617621,1
318496224_1,318496224,2,1,2.438035,1614.293,2.000019,0
318496224_2,318496224,2,2,2.437997,1613.149,2.7118,0
318497245_1,318497245,1,1,28.06849,1613.186,5.235296,0
318584714_1,318584714,1,1,3.594015,1614.841,2.376003,0
318628394_1,318628394,1,1,14.00792,1626.387,23.08194,0
323286571_1,323286571,1,1,28.38528,1613.193,7.004268,0
371227879_1,371227879,1,1,14.46132,1626.62,4.261847,0
371267644_1,371267644,2,1,2.707716,1614.01,1.211505,0
371267644_2,371267644,2,2,2.707707,1615.559,1.526893,0
371299496_1,371299496,1,1,11.14661,1614.876,12.04607,0
58289870_1,58289870,1,1,14.13261,1626.371,15.65683,0
71985571_1,71985571,1,1,13.90152,1626.54,10.92587,0
72034540_1,72034540,3,1,3.47605,1614.816,3.672495,0
72034540_2,72034540,3,2,3.476142,1613.252,4.712904,0
72034540_3,72034540,3,3,14.07511,1626.395,35.69081,0
72299286_1,72299286,1,1,14.57238,1626.546,7.5298,0
72411355_1,72411355,2,1,5.936324,1617.576,2.832671,0
72411355_2,72411355,2,2,5.936404,1614.455,2.486099,0
72412082_1,72412082,2,1,14.85879,1625.035,6.641704,1
72412082_2,72412082,2,2,8.946891,1615.298,4.126893,0
74092792_1,74092792,1,1,14.23834,1626.72,2.439927,0
74094052_1,74094052,1,1,15.16057,1624.201,3.514282,0
5876391_1,5876391,1,1,22.28893,1615.464,2.209794,1
157510707_1,157510707,1,1,15.19583,1626.189,12.5,0
157513243_1,157513243,2,1,9.959028,1615.856,2.343839,1
157513243_2,157513243,2,2,15.22899,1625.835,16.33052,1
157641213_1,157641213,2,1,9.213801,1618.069,7.563643,0
157641213_2,157641213,2,2,9.216099,1613.808,10.52974,0
157684172_1,157684172,2,1,13.92517,1626.735,2.74496,1
157684172_2,157684172,2,2,14.47458,1626.97,5.655297,1
176102221_1,176102221,1,1,0.2480475,1613.042,0.5,0
182039063_1,182039063,2,1,2.384319,1613.072,4.451281,0
182039063_2,182039063,2,2,2.38431,1614.12,6.556527,0
182085139_1,182085139,2,1,14.15213,1626.762,4.345265,0
182085139_2,182085139,2,2,14.24167,1612.875,12.5,0
189843364_1,189843364,2,1,8.975017,1618.285,2.488359,0
189843364_2,189843364,2,2,8.974321,1621.692,2.607142,0
224726031_1,224726031,1,1,13.94877,1626.615,5.399093,0
270568552_1,270568552,1,1,10.72074,1621.285,11.68423,0
5894829_1,5894829,2,1,13.95439,1613.057,1.802157,0
5894829_2,5894829,2,2,13.96007,1626.738,3.320554,0
270643349_1,270643349,1,1,21.75777,1619.315,9.794792,0
270670706_1,270670706,1,1,14.03888,1626.363,16.38526,0
270685816_1,270685816,1,1,14.48647,1626.591,4.802238,0
270746435_1,270746435,1,1,4.976175,1613.4,1.231486,0
270797401_1,270797401,1,1,5.898689,1613.357,3.315649,1
270826460_1,270826460,2,1,6.775612,1615.661,21.27963,0
270826460_2,270826460,2,2,6.783888,1619.541,14.77471,0
270830897_1,270830897,1,1,28.13194,1613.232,12.5,0
271130378_1,271130378,1,1,14.04505,1623.448,4.758332,1
271193542_1,271193542,1,1,14.24168,1626.722,1.610917,0
276854735_1,276854735,1,1,3.524964,1613.329,1.925825,0
5894837_1,5894837,1,1,16.96478,1624.377,10.76565,0
276881393_1,276881393,1,1,14.08811,1626.463,24.45582,0
276882156_1,276882156,3,1,8.934791,1615.299,6.142394,0
276882156_2,276882156,3,2,8.93641,1621.266,6.484793,0
276882156_3,276882156,3,3,14.09376,1626.395,17.52281,0
281375731_1,281375731,1,1,14.00156,1626.541,7.764081,0
281458942_1,281458942,1,1,18.42199,1622.57,1.913991,0
281521270_1,281521270,1,1,13.89932,1626.659,5.775244,0
281624879_1,281624879,1,1,21.41241,1619.727,17.30094,0
281629209_1,281629209,1,1,13.96179,1626.65,19.88309,0
281793145_1,281793145,1,1,14.24267,1626.715,1.70591,0
281840133_1,281840133,1,1,13.96246,1626.575,6.726169,0
281842961_1,281842961,1,1,8.995176,1620.031,1.653874,1
5897127_1,5897127,1,1,27.94534,1613.41,7.769776,0
281845293_1,281845293,1,1,22.37331,1618.426,15.76034,0
281940599_1,281940599,2,1,4.623611,1617.462,6,0
281940599_2,281940599,2,2,4.620833,1614.805,6,0
281941695_1,281941695,4,1,9.48728,1620.708,6.067868,1
281941695_2,281941695,4,2,9.488928,1615.23,5.03218,1
281941695_3,281941695,4,3,9.214635,1618.956,3.163802,1
281941695_4,281941695,4,4,1.084064,1613.933,1.505448,1
282015055_1,282015055,2,1,5.095765,1616.248,4.861553,0
282015055_2,282015055,2,2,5.095193,1613.174,3.487566,0
282055743_1,282055743,3,1,1.338865,1613.289,1.328184,1
282055743_2,282055743,3,2,1.339551,1613.381,1.816243,1
282055743_3,282055743,3,3,1.339103,1613.172,1,1
282055976_1,282055976,1,1,17.58632,1618.974,1.98654,1
282056031_1,282056031,2,1,4.481535,1615.309,3.109181,1
282056031_2,282056031,2,2,13.99083,1626.686,2.545956,0
282108151_1,282108151,2,1,5.002782,1614.07,4.593788,0
282108151_2,282108151,2,2,5.002269,1615.585,5.979643,0
283104484_1,283104484,2,1,3.810929,1615.317,3.308899,1
283104484_2,283104484,2,2,14.81171,1625.699,6.995999,0
283171313_1,283171313,3,1,5.919217,1615.049,3.553097,0
283171313_2,283171313,3,2,5.919154,1613.697,7.439614,0
283171313_3,283171313,3,3,5.919991,1614.405,15.6394,0
5899158_1,5899158,1,1,7.753861,1618.776,2.253646,0
283355615_1,283355615,1,1,28.15972,1612.912,10.5,0
291391250_1,291391250,1,1,14.2409,1626.718,1.648525,0
291392292_1,291392292,1,1,14.1624,1626.974,15.52698,0
296932181_1,296932181,1,1,4.40472,1616.034,1.771623,1
296932891_1,296932891,1,1,2.196528,1613.663,8.59925,0
296935311_1,296935311,1,1,0.8159847,1613.075,1.97125,1
297165505_1,297165505,1,1,6.684106,1615.348,7.867512,1
315475193_1,315475193,1,1,5.343186,1617.056,2.704178,1
315625354_1,315625354,2,1,6.378047,1618.697,7.135789,0
315625354_2,315625354,2,2,6.37749,1614.379,5.767351,0
315629107_1,315629107,2,1,0.9664614,1612.959,1.745835,0
315629107_2,315629107,2,2,0.4832345,1613.012,1.221642,0
5899259_1,5899259,1,1,9.261528,1618.969,1.602713,1
318863106_1,318863106,1,1,0.6334123,1613.044,1,0
318888921_1,318888921,1,1,28.12083,1613.146,7.300119,1
319006144_1,319006144,2,1,8.859919,1621.107,2.489936,0
319006144_2,319006144,2,2,8.85787,1617.605,1.146557,0
326927305_1,326927305,1,1,6.050898,1618.002,3.658963,1
326988413_1,326988413,3,1,14.40833,1623.373,3.5,0
326988413_2,326988413,3,2,14.40883,1622.629,1.896494,0
326988413_3,326988413,3,3,14.25172,1626.895,8.692213,0
337341171_1,337341171,1,1,1.894649,1613.703,0.8791858,1
337514410_1,337514410,2,1,4.828397,1616.402,1.905981,0
337514410_2,337514410,2,2,4.828121,1614.176,2.071405,0
337580276_1,337580276,1,1,19.76748,1613.013,13.45536,0
350188177_1,350188177,2,1,20.66832,1613.671,3.192331,0
350188177_2,350188177,2,2,11.71248,1624.556,6.411967,0
362486111_1,362486111,1,1,7.353792,1617.545,1.557392,0
5964223_1,5964223,1,1,28.33528,1613.008,11.54755,0
362488828_1,362488828,2,1,1.873336,1612.97,1.772489,0
362488828_2,362488828,2,2,1.873228,1613.568,1.620636,0
369011131_1,369011131,1,1,28.11034,1613.491,12.88601,0
369043990_1,369043990,2,1,9.779728,1615.535,5.676996,0
369043990_2,369043990,2,2,9.776864,1618.664,5.891381,0
405070902_1,405070902,1,1,13.99052,1626.556,4.98548,0
46149393_1,46149393,1,1,14.50631,1626.581,7.732295,0
46175111_1,46175111,1,1,14.20143,1626.749,3.481029,0
168572618_1,168572618,2,1,14.1443,1626.547,18.10106,0
168572618_2,168572618,2,2,19.66748,1616.513,6.469155,0
176013938_1,176013938,1,1,13.98193,1626.618,9.105162,0
176076360_1,176076360,1,1,14.17342,1626.756,4.563217,0
187412053_1,187412053,1,1,8.365836,1620.179,2.660474,0
5965919_1,5965919,1,1,14.09846,1626.071,1.269465,0
187422438_1,187422438,1,1,14.46849,1627.006,8.795862,0
188268293_1,188268293,2,1,7.229318,1617.019,2.598737,0
188268293_2,188268293,2,2,7.227196,1614.246,3.060975,0
272518865_1,272518865,1,1,15.19636,1625.905,15.46878,0
272571889_1,272571889,1,1,14.5889,1626.578,5.224301,0
272672831_1,272672831,3,1,9.523776,1615.71,3.61416,1
272672831_2,272672831,3,2,9.522679,1619.877,2.815534,1
272672831_3,272672831,3,3,7.731635,1612.954,2.052601,1
272815192_1,272815192,1,1,23.77455,1612.945,10.50578,0
272852406_1,272852406,1,1,17.36313,1621.27,4.585432,1
272873230_1,272873230,1,1,0.2297062,1612.995,0.5,0
272917736_1,272917736,1,1,17.81374,1622.889,15.17814,0
272921803_1,272921803,1,1,19.23186,1621.724,1.749055,0
371331298_1,371331298,1,1,28.25033,1612.959,8.619275,0
371332080_1,371332080,1,1,28.23654,1613.438,12.08335,0
446190467_1,446190467,1,1,0.5247163,1613.23,0.7432637,1
188333822_1,188333822,1,1,14.87454,1626.192,14.26395,0
188339423_1,188339423,1,1,14.06415,1626.572,16.15395,0
193326396_1,193326396,1,1,13.96253,1626.747,3.815994,0
193344788_1,193344788,3,1,7.595793,1614.507,16.2675,0
193344788_2,193344788,3,2,7.59874,1617.835,19.75796,0
193344788_3,193344788,3,3,13.54227,1613.458,1.253425,0
193370321_1,193370321,1,1,14.6417,1626.459,11.51519,0
193377271_1,193377271,1,1,8.689703,1614.001,3.880534,1
193379358_1,193379358,1,1,13.96502,1613.301,11.89597,0
203293606_1,203293606,2,1,13.4463,1613.554,2.474782,0
203293606_2,203293606,2,2,14.12419,1626.767,5.196797,0
290564590_1,290564590,2,1,0.7829148,1612.908,0.5,0
290564590_2,290564590,2,2,0.7829148,1613.252,0.5,0
294847319_1,294847319,1,1,13.95926,1626.488,10.0278,0
459376111_1,459376111,2,1,4.659561,1614.834,3.140711,0
459376111_2,459376111,2,2,4.660734,1617.044,2.084485,0
294989595_1,294989595,2,1,8.127373,1614.292,3.276684,1
294989595_2,294989595,2,2,9.119878,1619.291,3.467824,1
335958852_1,335958852,1,1,14.78551,1626.25,12.39433,0
