tceid,catid,n_planets,tce_num,tce_period,tce_time0bk,tce_duration,planet
162494098_1,162494098,1,1,0.3419618,1613.04,0.1442783,0
199667851_1,199667851,1,1,3.657853,1615.128,0.07981075,1
236777961_1,236777961,1,1,14.38165,1626.632,0.7135196,0
355926765_1,355926765,2,1,5.662526,1614.159,0.2391104,0
229780556_1,229780556,1,1,13.99478,1626.549,0.5845825,0
219872948_1,219872948,1,1,2.56049,1613.983,0.1215133,1
357686750_1,357686750,1,1,2.667604,1614.145,0.1828855,1
237278955_2,237278955,2,2,8.928478,1619.935,0.2597064,0
276997047_1,276997047,1,1,3.617249,1616.185,0.2124094,0
406927285_1,406927285,1,1,13.94795,1626.711,0.07008133,0
383646959_1,383646959,1,1,1.039472,1612.863,0.02083333,1
264299607_1,264299607,1,1,14.23505,1626.71,0.1148368,0
287137539_1,287137539,2,1,20.93049,1620.308,0.1289558,0
101767343_2,101767343,2,2,12.96926,1613.303,0.3748495,0
233051098_1,233051098,2,1,3.105393,1615.122,0.07676558,0
353808559_1,353808559,1,1,27.62917,1612.931,0.5208333,0
276882156_3,276882156,3,3,14.09376,1626.395,0.7301171,0
199658791_1,199658791,1,1,14.61038,1622.236,0.2110803,1
417701650_2,417701650,2,2,3.904998,1615.202,0.07279792,0
264173786_2,264173786,2,2,8.464777,1619.914,0.08375371,0
256323002_1,256323002,2,1,5.059524,1616.869,0.2115817,1
366435680_5,366435680,5,5,14.95052,1626.202,0.4086492,0
284304031_1,284304031,1,1,15.07786,1626.563,0.8865796,0
392463863_1,392463863,2,1,7.781105,1614.625,0.09260125,0
181291655_1,181291655,3,1,9.801738,1613.429,0.267923,0
230128292_8,230128292,8,8,1.210866,1613.649,0.0625,0
337341171_1,337341171,1,1,1.894649,1613.703,0.03663274,1
229457945_1,229457945,1,1,14.46866,1626.958,0.1647088,0
345725207_1,345725207,1,1,2.628809,1613.293,0.05233071,1
329134913_1,329134913,1,1,13.66828,1614.001,0.6418425,0
309907185_1,309907185,1,1,15.37728,1613.924,0.09277721,1
270253531_1,270253531,1,1,1.218816,1613.2,0.02978261,1
263795692_1,263795692,1,1,28.37859,1612.917,0.647085,0
462607772_2,462607772,5,2,11.83852,1613.154,0.0511455,0
233576098_1,233576098,2,1,9.576809,1620.154,0.1134942,0
230390497_1,230390497,1,1,28.46875,1612.859,0.4264708,0
198457116_1,198457116,1,1,14.22754,1626.722,0.1008675,1
229739776_1,229739776,1,1,2.922166,1614.808,0.182214,0
230113841_1,230113841,1,1,19.97475,1618.569,0.2221072,1
281624879_1,281624879,1,1,21.41241,1619.727,0.7208725,0
219760133_1,219760133,1,1,24.10503,1617.288,0.5345583,1
199710426_2,199710426,2,2,1.191394,1613.445,0.05641542,0
230120119_1,230120119,1,1,13.93741,1626.681,0.3489217,0
356235542_1,356235542,2,1,4.713756,1615.17,0.090022,0
46300333_1,46300333,1,1,14.06737,1626.555,0.5160479,0
224598071_1,224598071,1,1,13.98919,1626.667,0.4501412,0
420863623_1,420863623,1,1,14.06107,1626.554,0.7929021,0
181417688_3,181417688,3,3,6.598521,1618.608,0.2891047,0
46376720_2,46376720,2,2,14.75304,1626.739,0.1660631,0
230091378_1,230091378,1,1,0.2189428,1613.033,0.02083333,0
193874531_1,193874531,1,1,13.95353,1626.295,0.4985454,0
162689162_1,162689162,1,1,13.99012,1613.357,0.5155013,0
356700071_1,356700071,1,1,15.3603,1625.117,1.627222,0
288601702_1,288601702,1,1,13.96618,1626.685,0.6318729,0
105847665_2,105847665,2,2,14.23434,1626.719,0.09807596,0
286279165_2,286279165,2,2,5.446313,1613.573,0.1951038,0
233051098_2,233051098,2,2,3.105509,1613.442,0.06044004,0
229583294_1,229583294,2,1,7.214623,1613.456,0.1035601,0
219750509_3,219750509,3,3,0.2713516,1612.93,0.02148714,0
160601181_2,160601181,2,2,16.24397,1615.198,0.07193067,0
267543197_2,267543197,3,2,0.2946189,1612.962,0.04166667,0
219796291_1,219796291,1,1,2.903037,1614.163,0.1255547,1
230229037_3,230229037,4,3,13.71025,1613.275,0.6259975,0
162617453_1,162617453,3,1,3.408333,1613.986,0.08333333,0
441802995_4,441802995,4,4,13.96113,1626.711,0.07864087,0
310060798_1,310060798,1,1,24.60972,1616.738,0.5208333,0
229683084_2,229683084,2,2,2.336099,1614.694,0.108294,0
393126927_1,393126927,1,1,14.06293,1612.906,0.2980222,0
199712635_1,199712635,1,1,0.6697293,1613.05,0.03107511,1
172654838_2,172654838,2,2,9.893672,1618.983,0.1734758,0
198179599_1,198179599,1,1,18.40443,1622.55,0.08071533,0
289621872_1,289621872,1,1,13.80025,1626.634,0.5989929,0
424438769_1,424438769,2,1,4.622222,1617.391,0.125,0
219864655_1,219864655,1,1,6.290375,1615.819,0.15047,1
105847665_1,105847665,2,1,12.99255,1616.254,0.5363862,0
318469641_1,318469641,1,1,5.12645,1615.245,0.1507342,1
258046839_1,258046839,1,1,5.681872,1613.469,0.1200255,1
37227921_2,37227921,3,2,2.547856,1615.317,0.08063088,0
150584743_4,150584743,4,4,14.48962,1625.948,0.4468767,0
367855005_1,367855005,2,1,7.636895,1616.214,0.3208681,0
198418360_1,198418360,1,1,25.62063,1615.536,0.2740139,0
230079674_2,230079674,2,2,4.625549,1617.106,0.1090776,0
441738253_1,441738253,1,1,4.336086,1614.065,0.07061458,0
36982626_1,36982626,4,1,5.163393,1613.299,0.08843917,0
337581867_1,337581867,1,1,14.0145,1626.435,1.178157,0
272571889_1,272571889,1,1,14.5889,1626.578,0.2176792,0
349360612_2,349360612,2,2,7.831009,1619.138,0.2835413,0
18116966_1,18116966,3,1,1.309143,1613.765,0.1167742,1
237117193_2,237117193,2,2,8.455931,1614.016,0.2124629,0
21147900_2,21147900,2,2,2.843033,1614.023,0.08707138,0
276853118_1,276853118,1,1,13.98675,1613.184,0.2700704,0
288300796_1,288300796,1,1,8.407252,1619.116,0.1662532,1
405070902_1,405070902,1,1,13.99052,1626.556,0.2077283,0
229776748_1,229776748,2,1,2.726406,1614.103,0.1044183,0
462308226_2,462308226,2,2,9.193342,1619.072,0.1350053,0
257456864_1,257456864,1,1,17.4515,1613.057,0.2930876,0
101767343_1,101767343,2,1,12.96892,1617.935,0.179567,0
458526933_1,458526933,2,1,9.578122,1619.605,0.09742421,1
286115754_1,286115754,2,1,2.348904,1613.121,0.1710865,0
281375731_1,281375731,1,1,14.00156,1626.541,0.3235034,0
160583413_1,160583413,1,1,9.226622,1613.86,0.1687255,1
135595831_1,135595831,1,1,14.21782,1612.929,0.2160007,0
233011723_1,233011723,2,1,10.97985,1623.105,0.2122274,1
88932244_3,88932244,4,3,13.70196,1613.281,0.08558758,0
164306086_2,164306086,2,2,4.239082,1614.899,0.1296118,0
230074344_1,230074344,1,1,0.3666108,1612.846,0.03924214,0
233528152_1,233528152,1,1,15.21081,1621.281,0.07917558,1
310235002_1,310235002,2,1,4.420413,1612.903,0.1707387,0
236757919_1,236757919,1,1,16.05639,1618.735,0.07174079,1
393116102_1,393116102,2,1,4.773781,1614.885,0.302316,1
282056031_1,282056031,2,1,4.481535,1615.309,0.1295492,1
219502124_1,219502124,1,1,3.567328,1613.482,0.1086787,0
371366416_2,371366416,2,2,0.6510898,1612.863,0.03625269,1
356003068_1,356003068,1,1,8.293149,1617.897,0.03757247,0
233746487_1,233746487,2,1,0.4509472,1613.046,0.02083333,0
462614871_1,462614871,2,1,9.25334,1618.643,0.08960858,0
313498719_1,313498719,1,1,15.55973,1626.249,1.009993,0
224602141_2,224602141,2,2,5.189719,1617.931,0.1604587,0
441810984_2,441810984,3,2,7.273437,1615.738,0.2945972,0
356788481_2,356788481,2,2,7.324154,1617.627,0.06901246,0
258802094_2,258802094,2,2,8.279682,1617.909,0.1430154,0
229798535_1,229798535,1,1,8.812474,1619.835,0.1142743,0
230381862_1,230381862,1,1,14.19488,1626.737,0.1268411,0
233721512_1,233721512,1,1,28.1,1613.275,0.5208333,0
291036393_1,291036393,2,1,13.95302,1626.562,0.2637025,0
462176735_2,462176735,2,2,4.381088,1613.113,0.0249639,1
264249224_1,264249224,1,1,14.4981,1626.583,0.2211598,0
289536553_2,289536553,2,2,13.56096,1613.934,0.6599379,0
233059608_2,233059608,2,2,14.0336,1625.178,0.9369125,0
411034051_3,411034051,3,3,0.2480475,1612.895,0.02083333,0
193726325_3,193726325,4,3,7.510045,1616.503,0.07544942,0
264174054_1,264174054,1,1,0.691482,1613.258,0.047548,1
420136179_2,420136179,2,2,7.19022,1615.459,0.06112817,0
424461841_1,424461841,1,1,14.25954,1626.701,0.04839292,0
143038128_1,143038128,2,1,6.833939,1616.379,0.2344865,0
