tceid,catid,n_planets,tce_num,tce_period,tce_time0bk,tce_duration,planet
236757389_2,236757389,2,2,4.406517,1614.011,0.1258946,0
309907802_1,309907802,1,1,13.8712,1613.973,0.2230161,0
410728494_1,410728494,1,1,12.96339,1615.7,0.1511044,0
287139051_1,287139051,1,1,14.08928,1626.536,0.3377559,0
72034540_2,72034540,3,2,3.476142,1613.252,0.196371,0
88937176_3,88937176,4,3,4.863439,1613.777,0.07451929,1
119988584_1,119988584,1,1,14.24968,1626.712,0.1040702,0
390017760_1,390017760,1,1,28.25789,1612.995,0.2214283,0
236778973_1,236778973,1,1,3.320123,1614.367,0.0803825,1
219755102_1,219755102,1,1,0.2297062,1612.882,0.02083333,0
119814259_1,119814259,2,1,7.494864,1615.838,0.2747477,0
198204303_1,198204303,1,1,13.98591,1626.536,0.2974838,0
274624857_1,274624857,1,1,1.50911,1613.776,0.06150063,0
459394822_1,459394822,2,1,8.248193,1617.359,0.1468498,0
258919618_1,258919618,1,1,14.03257,1626.625,0.834025,0
199550090_1,199550090,1,1,7.403016,1616.153,0.08405833,1
232617092_2,232617092,2,2,8.106673,1616.631,0.2771024,0
382657355_2,382657355,2,2,4.131706,1613.622,0.08001912,0
230079674_1,230079674,2,1,4.63079,1614.894,0.1489598,0
310489231_1,310489231,1,1,13.9465,1613.281,0.3893553,0
274202581_2,274202581,3,2,8.585009,1614.787,0.1120633,0
233129260_1,233129260,2,1,9.948624,1614.188,0.2248264,0
233571764_1,233571764,2,1,8.166042,1615.378,0.2613985,0
219858309_1,219858309,1,1,19.01415,1618.93,0.5187517,0
39202513_1,39202513,2,1,12.58905,1623.319,0.08486887,1
318493980_2,318493980,2,2,4.780982,1616.878,0.04171704,1
282108151_2,282108151,2,2,5.002269,1615.585,0.2491518,0
182044759_2,182044759,2,2,14.25942,1626.713,0.08703329,0
337516584_1,337516584,2,1,5.698186,1616.504,0.1500485,0
207397638_1,207397638,1,1,14.26113,1626.941,0.6573629,0
224601357_1,224601357,2,1,12.37972,1624.489,0.1796992,1
199710426_1,199710426,2,1,2.382767,1613.44,0.05713221,0
160583993_1,160583993,1,1,8.439276,1619.219,0.1853003,1
257648522_1,257648522,3,1,13.93425,1619.843,0.157098,1
345768371_1,345768371,1,1,8.006575,1619.318,0.06178046,1
36985301_1,36985301,1,1,12.29132,1622.65,0.2064688,1
229591184_1,229591184,1,1,7.266676,1614.776,0.1565955,1
281940599_2,281940599,2,2,4.620833,1614.805,0.25,0
230069191_1,230069191,1,1,16.80136,1615.235,0.2222412,1
40050264_2,40050264,2,2,9.524882,1620.885,0.1724617,0
353734779_1,353734779,2,1,14.01634,1613.093,0.46317,0
162675147_1,162675147,1,1,24.76446,1616.324,0.06671129,0
233569191_1,233569191,1,1,27.37724,1613.329,0.7744871,0
153608253_2,153608253,2,2,13.95849,1613.049,0.05947979,0
424730698_1,424730698,1,1,14.22889,1626.994,0.5972233,0
323197989_2,323197989,2,2,7.158139,1616.105,0.1245891,0
229582158_1,229582158,2,1,8.131567,1620.429,0.3626688,0
229591247_1,229591247,1,1,1.02123,1613.404,0.02291342,1
287151388_1,287151388,2,1,5.124214,1614.627,0.1492284,0
420129036_3,420129036,3,3,14.85529,1613.223,0.4708125,0
233063623_1,233063623,1,1,4.484996,1614.334,0.0456555,1
286232900_4,286232900,5,4,10.07585,1619.007,0.0357784,0
353854057_2,353854057,2,2,5.691588,1615.847,0.2098241,0
444065890_1,444065890,2,1,10.76028,1618.632,0.1691749,1
24157663_1,24157663,1,1,14.86002,1614.609,0.2037556,1
359483451_1,359483451,2,1,9.6375,1614.612,0.1458333,0
88994025_2,88994025,2,2,0.6528126,1613.495,0.04616887,0
187412053_1,187412053,1,1,8.365836,1620.179,0.1108531,0
417701650_1,417701650,2,1,3.905328,1613.379,0.08089679,0
298554479_2,298554479,2,2,9.421254,1621.467,0.6371371,0
219750509_1,219750509,3,1,7.52147,1613.531,0.1191028,0
406855037_3,406855037,3,3,12.93636,1613.517,0.5246004,1
219850511_2,219850511,2,2,6.846118,1615.701,0.1076488,0
229980270_2,229980270,2,2,11.24048,1623.586,0.1461703,1
441812025_1,441812025,1,1,21.73892,1618.361,0.06835317,0
229609660_1,229609660,1,1,15.44738,1625.37,0.3979786,0
52799783_2,52799783,2,2,7.859416,1616.47,0.2688593,0
236766076_1,236766076,2,1,0.3090036,1612.937,0.02083333,0
257582735_1,257582735,1,1,2.490785,1613.771,0.1069535,1
116099248_1,116099248,1,1,14.1965,1626.737,0.1076349,0
457946000_1,457946000,1,1,1.482447,1613.897,0.086554,0
284188533_1,284188533,1,1,13.90353,1626.323,0.5087183,0
230010430_1,230010430,2,1,4.809784,1613.665,0.2006942,0
233533233_1,233533233,1,1,1.17725,1613.518,0.03999633,1
259268027_1,259268027,1,1,0.7209328,1613,0.02083333,0
219857398_2,219857398,2,2,0.9664612,1613.064,0.04270817,0
400406769_1,400406769,1,1,0.4505286,1612.991,0.04133045,0
229581728_1,229581728,2,1,8.761088,1618.375,0.1206471,0
230081977_1,230081977,1,1,28.43472,1612.924,0.4375,0
160601758_1,160601758,1,1,0.7869989,1613.525,0.08333333,0
462218195_1,462218195,1,1,24.01772,1617.395,0.4266175,0
233529335_1,233529335,1,1,27.47028,1613.406,0.5255167,0
101767697_1,101767697,3,1,1.877311,1614.618,0.08475879,0
230015746_1,230015746,1,1,14.70122,1626.314,0.7324517,0
157575040_1,157575040,1,1,14.22506,1626.723,0.08286283,0
219816559_1,219816559,2,1,7.849645,1617.12,0.2817251,0
188826124_2,188826124,2,2,7.453392,1616.279,0.1271066,0
232617092_1,232617092,2,1,8.107148,1620.146,0.2964154,0
165529438_1,165529438,2,1,5.554682,1614.348,0.1900359,0
229710567_2,229710567,3,2,9.149466,1621.46,0.3213022,1
441726381_1,441726381,1,1,8.10357,1620.558,0.2038016,1
162519062_2,162519062,2,2,7.44714,1615.285,0.2983369,0
236759049_1,236759049,1,1,28.02236,1613.162,0.4009804,0
332363246_1,332363246,1,1,0.3180367,1613.029,0.02903239,0
319092428_1,319092428,1,1,14.14281,1626.964,0.5857496,0
233210206_2,233210206,2,2,4.725635,1613.922,0.05828029,0
233740210_1,233740210,2,1,4.142343,1613.131,0.1472382,0
446176915_2,446176915,2,2,9.519527,1619.867,0.1244826,0
279983256_1,279983256,2,1,1.42242,1613.829,0.1015661,1
233729994_1,233729994,1,1,5.672062,1616.679,0.1441257,1
371267644_1,371267644,2,1,2.707716,1614.01,0.05047937,0
88937176_1,88937176,4,1,5.105145,1616.613,0.1001772,1
232610445_2,232610445,4,2,9.373611,1620.641,0.1458333,0
230111660_1,230111660,1,1,27.4883,1613.144,0.1610208,0
459376111_2,459376111,2,2,4.660734,1617.044,0.08685354,0
229618154_2,229618154,3,2,3.897099,1613.668,0.1730713,0
264221810_2,264221810,2,2,3.004355,1615.788,0.2579113,0
235673494_1,235673494,1,1,15.0182,1613.096,0.4167583,1
357100770_1,357100770,1,1,19.01291,1621.376,0.6920442,0
101831762_1,101831762,1,1,6.854286,1619.412,0.04962588,1
198407592_1,198407592,2,1,2.111926,1613.827,0.04166667,0
389968692_2,389968692,2,2,6.845107,1617.161,0.2128877,0
142682079_1,142682079,1,1,13.96953,1613.182,0.6822133,0
159434316_1,159434316,1,1,2.774161,1614.223,0.05453483,1
230092578_1,230092578,1,1,14.66791,1626.782,0.2022593,0
149689521_3,149689521,3,3,13.16057,1613.989,0.2595394,0
29384129_2,29384129,2,2,1.741746,1613.225,0.07361717,0
142699183_2,142699183,3,2,4.465702,1615.512,0.1640968,0
237102603_2,237102603,2,2,7.510752,1613.269,0.2487562,0
310263791_1,310263791,1,1,14.24916,1626.713,0.1010142,0
235684720_1,235684720,2,1,15.2017,1625.733,0.143924,0
359494447_1,359494447,1,1,13.97873,1626.778,0.6081038,0
32475189_2,32475189,2,2,9.948089,1612.92,0.1505157,0
219751350_1,219751350,1,1,6.349826,1616.752,0.1382377,1
52988782_1,52988782,2,1,4.056536,1616.157,0.2045821,0
219774920_1,219774920,1,1,0.3090376,1613.059,0.04166667,0
355957040_2,355957040,6,2,14.24251,1626.714,0.09924538,0
441763340_1,441763340,1,1,20.43394,1619.443,0.6375871,0
236354004_1,236354004,1,1,3.416081,1615.266,0.1185768,1
135518069_1,135518069,2,1,14.42259,1626.961,0.1337394,0
181417688_2,181417688,3,2,0.2945957,1613.118,0.03888707,0
353854057_1,353854057,2,1,5.676233,1618.08,0.1621812,0
356785777_1,356785777,1,1,4.643349,1617.248,0.08167346,0
188769439_2,188769439,3,2,13.95649,1613.045,0.09192704,0
392572237_1,392572237,1,1,21.19101,1620.029,0.4925854,0
52400876_1,52400876,1,1,1.095803,1613.899,0.04585929,1
258090619_2,258090619,2,2,7.720871,1613.1,0.09014788,0
353736316_2,353736316,2,2,6.491281,1617.867,0.2276945,0
162555123_3,162555123,3,3,0.4594332,1612.856,0.03166285,0
298602203_1,298602203,2,1,8.726389,1613.352,0.08333333,0
258355004_1,258355004,4,1,1.169815,1613.996,0.04073587,0
